Name,Totalnumberoffunds,FundSize_Preqin,Sum_wirr_preqin,HasESGonWebsite,E_Portfoliocasestudies,E_Media,S_Portfoliocasestudies,S_Media,G_Portfoliocasestudies,Other_ESGfund,Other_ESGdocument,Other_Portfoliocasestudies,Other_ESGMedia,Other_ESGpolicy,Other_ESGreport,Other_ESGAwards,E_HasDocumentsorPages,S_HasDEI,S_10PctWomenBoardExec,S_HasDocumentsorPages,G_HasDocumentsorPages,Other_HasESGHeadorCommittee,Staff,Average_Fund_Size,ESG_Score
Great Hill Partners,5,11000,14.58937168121338,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,114,2200,4
Clearlake Capital Group,14,781.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,55.82142857142857,0
Bain Capital,25,79736.40625,7.743888854980469,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1767,3189.45625,11
HarbourVest Partners,114,80074.8984375,8.491778373718262,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1244,702.4113898026316,7
Warburg Pincus,11,67861,9.35482120513916,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1233,6169.181818181818,4
Audax Group,11,10917.400390625,9.588665008544922,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,393,992.4909446022727,6
TowerBrook,2,6477.2998046875,18.028549194335938,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,166,3238.64990234375,10
Kohlberg & Company,5,8205.099609375,8.84752368927002,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,116,1641.019921875,7
Siris Capital,4,5901,18.05129623413086,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,66,1475.25,4
Leonard Green & Partners,11,35900,13.850835800170898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,3263.6363636363635,0
The Vistria Group,9,5403.2998046875,5.638717174530029,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,122,600.3666449652778,5
Charlesbank Capital Partners,10,10440,7.961542129516602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,1044,1
Blackstone Group,54,135995.296875,12.73341464996338,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,7029,2518.4314236111113,11
Energy & Minerals Group,13,2063.300048828125,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,158.71538837139423,0
GTCR,10,24178,19.29211807250977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,2417.8,0
Platinum Equity,13,26460,13.463265419006348,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,575,2035.3846153846155,6
Marlin Equity Partners,2,821.489990234375,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,410.7449951171875,0
Harvest Partners,8,8273,10.972234725952148,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,108,1034.125,3
EnCap Investments,2,486,NA,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,50,243,6
TPG,50,97996.59375,8.232124328613281,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,2521,1959.931875,8
Accel-KKR,11,9600,1.5207812786102295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,872.7272727272727,0
NGP Energy Capital Management,5,505,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,101,0
Peak Rock Capital,3,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,NA,0
Linden,7,5980,10.466136932373049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,854.2857142857143,0
The Riverside Company,24,8555.6796875,7.676797389984131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,475,356.4866536458333,2
Oak Hill Capital Partners,4,10250,12.09268283843994,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,57,2562.5,7
Apollo Global Management,38,68950.1015625,19.08926010131836,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,3942,1814.4763569078948,15
Quantum Energy Partners,5,1756,10.976651191711426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,351.2,1
New Mountain Capital,8,25889.80078125,14.829492568969728,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,3236.22509765625,1
Levine Leichtman Capital Partners,9,8001.2001953125,12.61721897125244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,889.0222439236111,0
Francisco Partners,9,24705.69921875,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,2745.077690972222,1
Hellman & Friedman,20,69621.703125,9.219427108764648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,206,3481.08515625,2
KKR,31,115471.703125,12.302447319030762,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,7190,3724.8936491935483,13
Stone Point Capital,7,33067,8.683418273925781,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,190,4723.857142857143,4
Alpine Investors,9,4981.39990234375,3.0889711380004883,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,410,553.4888780381945,6
Nautic Partners,8,7612.39990234375,11.692935943603516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,951.54998779296875,0
"Welsh, Carson, Anderson & Stowe",6,11780,12.331714630126951,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,146,1963.3333333333333,3
L Catterton,24,18507.7890625,3.4068915843963623,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,384,771.1578776041666,4
Providence Equity Partners,34,33451.6015625,7.283806800842285,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,199,983.8706341911765,5
Adams Street Partners,119,42897.23828125,14.264617919921877,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,361,360.48099396008405,7
Trilantic North America,3,4049,14.71230411529541,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,61,1349.6666666666667,8
Arcline Investment Management,3,4250,NA,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,61,1416.6666666666667,3
American Securities,3,10961,18.431381225585938,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,237,3653.6666666666665,6
AEA Investors,11,13070.7001953125,4.311389923095703,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,232,1188.2454723011363,3
Clayton Dubilier & Rice,12,36997.6015625,3.5407700538635254,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,299,3083.1334635416665,4
The Jordan Company,12,13107.2998046875,20.054244995117188,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,90,1092.2749837239583,5
Blue Owl Capital,19,18077.5,36.34905242919922,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,724,951.4473684210526,6
Spectrum Equity,7,4915,3.7261078357696538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,702.1428571428571,0
TA Associates,12,37526.5,8.726846694946289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,776,3127.2083333333335,4
Summit Partners,17,28704.380859375,5.2804131507873535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,1688.4929917279412,1
FTV Capital,7,5956,6.597945213317871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,123,850.8571428571429,2
RedBird Capital Partners,10,3765,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,376.5,0
Insight Partners,24,29572.19921875,21.613142013549805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,1232.1749674479167,0
Arctos Sports Partners,3,2120,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,706.6666666666666,0
TSG Consumer Partners,8,11788.099609375,8.157379150390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,1473.512451171875,0
PSG,6,NA,NA,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1203,NA,3
Tiger Global Management,13,38823.19921875,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,2986.399939903846,0
General Atlantic,16,23539,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,1471.1875,1
TCV,11,12345,12.200810432434082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,1122.2727272727273,0
Sapphire Ventures,15,7186.60009765625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,479.10667317708334,0
Accel,45,23914.880859375,0.5437037348747253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,531.441796875,0
Andreessen Horowitz,36,40191.19921875,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,1116.4222005208333,0
Lightspeed Venture Partners,33,19145.150390625,6.079574108123779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,580.1560724431819,0
Thrive Capital,13,7393,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,568.6923076923077,0
GGV Capital,15,4415.6201171875,14.272231101989746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,294.3746744791667,0
New Enterprise Associates,14,22293.19921875,10.743876457214355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,1592.371372767857,0
General Catalyst Partners,25,13404.900390625,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,536.196015625,1
Index Ventures,18,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,NA,0
Sequoia Capital,101,40282.08984375,12.568352699279783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824,398.83257271039605,0
Battery Ventures,15,11505,14.14863109588623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,767,0
Flagship Pioneering,9,6476,4.851250648498535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,719.5555555555555,0
Norwest Venture Partners,7,10750,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,1535.7142857142858,3
